actual_value,predicted_value,residual,absolute_residual
827.48,45.47,782.01,782.01
287.94,45.51,242.43,242.43
483.35,48.02,435.33000000000004,435.33000000000004
403.89,48.21,355.68,355.68
157.24,49.28,107.96000000000001,107.96000000000001
544.42,43.09,501.3299999999999,501.3299999999999
368.62,54.58,314.04,314.04
549.84,47.08,502.76000000000005,502.76000000000005
582.46,42.99,539.47,539.47
657.88,46.7,611.18,611.18
261.11,52.85,208.26000000000002,208.26000000000002
801.96,46.63,755.33,755.33
535.26,52.0,483.26,483.26
445.74,49.53,396.21000000000004,396.21000000000004
593.36,43.58,549.78,549.78
728.38,49.93,678.45,678.45
230.3,49.11,181.19,181.19
245.35,50.91,194.44,194.44
783.22,47.55,735.6700000000001,735.6700000000001
778.8,43.0,735.8,735.8
1100.3,46.43,1053.87,1053.87
978.82,47.83,930.99,930.99
615.33,46.34,568.99,568.99
625.92,48.6,577.3199999999999,577.3199999999999
762.8,42.17,720.63,720.63
567.13,50.12,517.01,517.01
571.99,44.96,527.03,527.03
780.52,45.0,735.52,735.52
672.01,49.26,622.75,622.75
423.52,43.87,379.65,379.65
568.84,46.78,522.0600000000001,522.0600000000001
149.01,49.06,99.94999999999999,99.94999999999999
951.74,43.31,908.4300000000001,908.4300000000001
411.94,40.43,371.51,371.51
483.1,43.27,439.83000000000004,439.83000000000004
1013.6,47.01,966.59,966.59
496.33,46.82,449.51,449.51
633.9,47.03,586.87,586.87
1025.87,48.54,977.3299999999999,977.3299999999999
656.28,46.81,609.47,609.47
121.46,45.25,76.21,76.21
933.58,43.26,890.32,890.32
716.95,49.36,667.59,667.59
611.56,44.62,566.9399999999999,566.9399999999999
456.59,49.17,407.41999999999996,407.41999999999996
272.42,42.89,229.53000000000003,229.53000000000003
730.84,48.07,682.77,682.77
851.53,48.88,802.65,802.65
400.43,45.71,354.72,354.72
410.03,51.28,358.75,358.75
637.4,43.15,594.25,594.25
765.6,46.86,718.74,718.74
405.37,43.42,361.95,361.95
516.64,45.72,470.91999999999996,470.91999999999996
403.27,51.77,351.5,351.5
588.59,42.12,546.47,546.47
346.12,47.19,298.93,298.93
180.34,45.87,134.47,134.47
367.56,44.08,323.48,323.48
768.75,48.95,719.8,719.8
339.8,49.4,290.40000000000003,290.40000000000003
635.23,44.18,591.0500000000001,591.0500000000001
1016.44,44.13,972.3100000000001,972.3100000000001
407.96,48.95,359.01,359.01
213.58,49.75,163.83,163.83
159.02,48.21,110.81,110.81
511.92,47.7,464.22,464.22
831.14,45.7,785.4399999999999,785.4399999999999
420.54,44.93,375.61,375.61
662.47,42.23,620.24,620.24
275.9,46.16,229.73999999999998,229.73999999999998
663.43,44.63,618.8,618.8
376.06,47.71,328.35,328.35
242.28,43.89,198.39,198.39
523.23,45.6,477.63,477.63
291.04,42.33,248.71000000000004,248.71000000000004
447.67,50.71,396.96000000000004,396.96000000000004
195.56,52.17,143.39,143.39
372.94,50.11,322.83,322.83
661.01,52.57,608.4399999999999,608.4399999999999
769.04,48.49,720.55,720.55
654.76,51.59,603.17,603.17
1152.91,48.87,1104.0400000000002,1104.0400000000002
487.96,51.36,436.59999999999997,436.59999999999997
416.61,50.35,366.26,366.26
686.91,47.11,639.8,639.8
495.01,51.7,443.31,443.31
166.25,46.02,120.22999999999999,120.22999999999999
763.28,47.59,715.6899999999999,715.6899999999999
671.14,41.54,629.6,629.6
680.04,45.85,634.1899999999999,634.1899999999999
628.33,44.91,583.4200000000001,583.4200000000001
876.99,46.52,830.47,830.47
386.55,46.52,340.03000000000003,340.03000000000003
539.6,46.82,492.78000000000003,492.78000000000003
911.02,47.43,863.59,863.59
788.66,45.38,743.28,743.28
585.96,44.0,541.96,541.96
355.8,42.72,313.08000000000004,313.08000000000004
232.56,48.42,184.14,184.14
856.22,48.74,807.48,807.48
147.05,49.39,97.66000000000001,97.66000000000001
1180.73,49.25,1131.48,1131.48
787.99,45.69,742.3,742.3
170.59,49.0,121.59,121.59
274.96,46.46,228.49999999999997,228.49999999999997
645.67,44.98,600.6899999999999,600.6899999999999
505.93,47.23,458.7,458.7
638.98,48.53,590.45,590.45
507.09,49.4,457.69,457.69
185.78,45.76,140.02,140.02
387.94,44.09,343.85,343.85
594.39,45.23,549.16,549.16
809.11,46.23,762.88,762.88
475.3,48.03,427.27,427.27
1015.9,43.69,972.21,972.21
336.62,55.78,280.84000000000003,280.84000000000003
203.23,43.18,160.04999999999998,160.04999999999998
606.52,48.59,557.93,557.93
269.04,45.04,224.00000000000003,224.00000000000003
448.72,42.37,406.35,406.35
284.49,45.0,239.49,239.49
649.97,48.13,601.84,601.84
232.58,48.47,184.11,184.11
422.9,46.83,376.07,376.07
220.79,49.78,171.01,171.01
995.27,46.28,948.99,948.99
580.81,47.52,533.29,533.29
1038.89,46.24,992.6500000000001,992.6500000000001
500.06,48.69,451.37,451.37
503.47,49.32,454.15000000000003,454.15000000000003
738.98,46.65,692.33,692.33
572.85,52.9,519.95,519.95
567.17,53.33,513.8399999999999,513.8399999999999
901.12,44.85,856.27,856.27
489.14,45.86,443.28,443.28
793.82,44.96,748.86,748.86
1040.13,47.8,992.3300000000002,992.3300000000002
539.41,45.66,493.75,493.75
242.81,47.81,195.0,195.0
220.17,48.12,172.04999999999998,172.04999999999998
652.77,45.36,607.41,607.41
520.05,43.69,476.35999999999996,476.35999999999996
59.56,49.82,9.740000000000002,9.740000000000002
940.93,46.4,894.53,894.53
480.99,50.92,430.07,430.07
823.63,53.93,769.7,769.7
717.17,43.78,673.39,673.39
644.32,48.54,595.7800000000001,595.7800000000001
308.86,49.44,259.42,259.42
389.81,43.46,346.35,346.35
232.99,46.29,186.70000000000002,186.70000000000002
279.52,44.61,234.90999999999997,234.90999999999997
746.56,48.22,698.3399999999999,698.3399999999999
179.31,44.16,135.15,135.15
171.28,49.94,121.34,121.34
646.21,49.47,596.74,596.74
472.96,46.07,426.89,426.89
896.09,46.96,849.13,849.13
185.58,44.57,141.01000000000002,141.01000000000002
995.39,48.34,947.05,947.05
928.58,51.26,877.32,877.32
480.2,50.89,429.31,429.31
273.52,43.54,229.98,229.98
437.67,46.21,391.46000000000004,391.46000000000004
176.4,43.44,132.96,132.96
739.34,47.78,691.5600000000001,691.5600000000001
475.5,48.32,427.18,427.18
657.18,44.03,613.15,613.15
513.22,39.95,473.27000000000004,473.27000000000004
215.93,48.91,167.02,167.02
568.41,50.91,517.5,517.5
1199.02,45.23,1153.79,1153.79
738.72,53.38,685.34,685.34
427.65,46.76,380.89,380.89
365.36,55.9,309.46000000000004,309.46000000000004
151.98,49.18,102.79999999999998,102.79999999999998
394.63,45.79,348.84,348.84
170.87,44.6,126.27000000000001,126.27000000000001
160.29,53.3,106.99,106.99
199.74,48.41,151.33,151.33
941.65,43.49,898.16,898.16
783.59,42.92,740.6700000000001,740.6700000000001
982.48,48.97,933.51,933.51
557.47,45.33,512.14,512.14
205.24,44.86,160.38,160.38
810.65,45.15,765.5,765.5
224.21,46.67,177.54000000000002,177.54000000000002
912.87,47.83,865.04,865.04
590.9,46.41,544.49,544.49
627.58,47.14,580.44,580.44
660.08,52.01,608.07,608.07
244.58,48.61,195.97000000000003,195.97000000000003
910.42,48.74,861.68,861.68
1008.07,49.51,958.5600000000001,958.5600000000001
108.02,43.74,64.28,64.28
696.38,44.93,651.45,651.45
676.32,45.21,631.11,631.11
710.38,44.8,665.58,665.58
569.29,53.36,515.93,515.93
404.64,45.36,359.28,359.28
788.4,46.2,742.1999999999999,742.1999999999999
558.13,51.69,506.44,506.44
275.48,45.59,229.89000000000001,229.89000000000001
1012.37,50.92,961.45,961.45
952.43,47.11,905.3199999999999,905.3199999999999
217.8,42.63,175.17000000000002,175.17000000000002
552.08,43.24,508.84000000000003,508.84000000000003
1032.79,55.55,977.24,977.24
401.34,48.03,353.30999999999995,353.30999999999995
329.1,42.72,286.38,286.38
613.71,48.07,565.64,565.64
464.12,48.68,415.44,415.44
674.08,54.53,619.5500000000001,619.5500000000001
163.91,49.51,114.4,114.4
1141.65,44.15,1097.5,1097.5
421.31,51.61,369.7,369.7
266.21,52.86,213.34999999999997,213.34999999999997
425.18,43.37,381.81,381.81
774.44,43.54,730.9000000000001,730.9000000000001
443.45,42.91,400.53999999999996,400.53999999999996
633.36,49.82,583.54,583.54
77.99,49.63,28.359999999999992,28.359999999999992
1022.87,43.66,979.21,979.21
273.27,52.83,220.44,220.44
805.94,44.78,761.1600000000001,761.1600000000001
410.83,49.69,361.14,361.14
723.6,49.81,673.79,673.79
771.58,42.93,728.6500000000001,728.6500000000001
479.69,42.23,437.46,437.46
569.16,51.13,518.03,518.03
611.3,44.56,566.74,566.74
474.03,51.72,422.30999999999995,422.30999999999995
1079.67,46.69,1032.98,1032.98
245.42,49.12,196.29999999999998,196.29999999999998
481.03,42.02,439.01,439.01
378.71,41.12,337.59,337.59
744.3,41.72,702.5799999999999,702.5799999999999
1004.59,45.81,958.78,958.78
761.52,46.47,715.05,715.05
610.38,47.56,562.8199999999999,562.8199999999999
482.08,44.13,437.95,437.95
484.47,42.87,441.6,441.6
183.73,46.4,137.32999999999998,137.32999999999998
390.97,46.77,344.20000000000005,344.20000000000005
850.92,43.28,807.64,807.64
134.86,44.5,90.36000000000001,90.36000000000001
262.62,48.94,213.68,213.68
221.97,45.11,176.86,176.86
443.33,50.75,392.58,392.58
832.85,45.2,787.65,787.65
259.25,44.0,215.25,215.25
1135.21,46.58,1088.63,1088.63
830.25,44.98,785.27,785.27
901.95,46.42,855.5300000000001,855.5300000000001
1151.89,48.85,1103.0400000000002,1103.0400000000002
782.77,45.41,737.36,737.36
186.36,43.29,143.07000000000002,143.07000000000002
605.02,44.96,560.06,560.06
769.48,46.29,723.19,723.19
394.92,46.35,348.57,348.57
868.41,51.09,817.3199999999999,817.3199999999999
714.87,44.94,669.9300000000001,669.9300000000001
259.88,45.59,214.29,214.29
588.57,45.15,543.4200000000001,543.4200000000001
194.23,49.68,144.54999999999998,144.54999999999998
421.09,46.21,374.88,374.88
631.67,47.06,584.6099999999999,584.6099999999999
819.6,46.2,773.4,773.4
835.46,44.92,790.5400000000001,790.5400000000001
654.82,44.11,610.71,610.71
574.29,41.49,532.8,532.8
1146.79,48.95,1097.84,1097.84
1050.75,48.35,1002.4,1002.4
789.9,49.15,740.75,740.75
312.77,52.32,260.45,260.45
780.55,41.71,738.8399999999999,738.8399999999999
966.4,46.65,919.75,919.75
844.12,50.94,793.1800000000001,793.1800000000001
1185.12,51.2,1133.9199999999998,1133.9199999999998
352.2,52.63,299.57,299.57
569.5,45.33,524.17,524.17
259.14,51.74,207.39999999999998,207.39999999999998
338.31,48.44,289.87,289.87
580.99,40.95,540.04,540.04
87.75,44.89,42.86,42.86
521.47,46.77,474.70000000000005,474.70000000000005
474.73,47.02,427.71000000000004,427.71000000000004
824.96,47.39,777.57,777.57
704.61,50.3,654.3100000000001,654.3100000000001
562.4,47.44,514.96,514.96
437.81,42.39,395.42,395.42
736.8,47.46,689.3399999999999,689.3399999999999
133.52,48.91,84.61000000000001,84.61000000000001
549.02,43.15,505.87,505.87
337.89,53.05,284.84,284.84
162.27,49.71,112.56,112.56
789.52,50.51,739.01,739.01
1021.98,45.34,976.64,976.64
801.69,45.49,756.2,756.2
507.08,42.97,464.11,464.11
663.42,41.67,621.75,621.75
604.23,44.16,560.07,560.07
790.09,48.48,741.61,741.61
585.57,47.6,537.97,537.97
699.82,44.97,654.85,654.85
502.11,40.18,461.93,461.93
235.51,49.8,185.70999999999998,185.70999999999998
245.43,49.2,196.23000000000002,196.23000000000002
459.94,48.66,411.28,411.28
601.21,45.78,555.4300000000001,555.4300000000001
254.34,48.25,206.09,206.09
118.73,43.66,75.07000000000001,75.07000000000001
154.39,48.79,105.6,105.6
553.95,43.32,510.63000000000005,510.63000000000005
1156.24,52.86,1103.38,1103.38
529.6,43.12,486.48,486.48
515.6,42.73,472.87,472.87
155.68,49.47,106.21000000000001,106.21000000000001
1138.76,49.48,1089.28,1089.28
767.71,48.25,719.46,719.46
599.97,47.38,552.59,552.59
433.17,45.3,387.87,387.87
951.32,45.37,905.95,905.95
276.07,47.14,228.93,228.93
409.21,46.53,362.67999999999995,362.67999999999995
947.66,43.4,904.26,904.26
252.63,43.65,208.98,208.98
431.96,40.7,391.26,391.26
354.63,46.77,307.86,307.86
672.83,54.57,618.26,618.26
297.88,45.0,252.88,252.88
457.95,47.28,410.66999999999996,410.66999999999996
342.25,43.72,298.53,298.53
576.05,43.96,532.0899999999999,532.0899999999999
472.49,48.13,424.36,424.36
849.61,45.75,803.86,803.86
371.42,50.6,320.82,320.82
815.98,47.08,768.9,768.9
228.25,49.54,178.71,178.71
479.07,46.61,432.46,432.46
632.15,48.96,583.1899999999999,583.1899999999999
425.96,45.02,380.94,380.94
642.51,49.33,593.18,593.18
152.84,49.32,103.52000000000001,103.52000000000001
388.48,51.3,337.18,337.18
563.08,42.56,520.52,520.52
1071.37,45.65,1025.7199999999998,1025.7199999999998
388.26,43.54,344.71999999999997,344.71999999999997
314.8,52.49,262.31,262.31
360.99,50.44,310.55,310.55
788.25,50.42,737.83,737.83
1053.76,45.39,1008.37,1008.37
866.61,46.6,820.01,820.01
697.02,46.25,650.77,650.77
123.4,52.05,71.35000000000001,71.35000000000001
1119.87,46.32,1073.55,1073.55
480.4,46.96,433.44,433.44
390.96,49.29,341.66999999999996,341.66999999999996
625.99,49.69,576.3,576.3
746.48,42.02,704.46,704.46
85.91,44.87,41.04,41.04
354.09,43.83,310.26,310.26
270.02,43.19,226.82999999999998,226.82999999999998
652.36,44.13,608.23,608.23
610.55,44.32,566.2299999999999,566.2299999999999
821.0,47.16,773.84,773.84
818.64,50.16,768.48,768.48
581.58,46.92,534.6600000000001,534.6600000000001
413.51,46.1,367.40999999999997,367.40999999999997
462.99,48.1,414.89,414.89
521.8,43.31,478.48999999999995,478.48999999999995
292.21,43.43,248.77999999999997,248.77999999999997
777.28,41.28,736.0,736.0
234.48,48.71,185.76999999999998,185.76999999999998
1157.81,44.61,1113.2,1113.2
399.49,44.08,355.41,355.41
159.97,43.77,116.19999999999999,116.19999999999999
322.17,52.56,269.61,269.61
603.21,45.59,557.62,557.62
923.55,45.16,878.39,878.39
958.66,48.89,909.77,909.77
433.63,50.74,382.89,382.89
538.65,48.66,489.99,489.99
438.88,49.52,389.36,389.36
96.02,42.56,53.459999999999994,53.459999999999994
580.42,42.65,537.77,537.77
865.71,50.62,815.09,815.09
330.16,52.79,277.37,277.37
559.69,41.55,518.1400000000001,518.1400000000001
461.97,51.3,410.67,410.67
669.03,51.47,617.56,617.56
599.75,48.2,551.55,551.55
275.96,52.91,223.04999999999998,223.04999999999998
438.16,50.54,387.62,387.62
467.74,44.18,423.56,423.56
529.77,48.08,481.69,481.69
573.77,43.69,530.0799999999999,530.0799999999999
181.95,48.15,133.79999999999998,133.79999999999998
612.6,42.48,570.12,570.12
826.97,45.13,781.84,781.84
570.0,46.47,523.53,523.53
827.01,44.92,782.09,782.09
606.5,48.81,557.69,557.69
904.67,47.39,857.28,857.28
607.06,47.51,559.55,559.55
487.18,45.8,441.38,441.38
470.49,46.94,423.55,423.55
155.89,43.81,112.07999999999998,112.07999999999998
445.81,47.06,398.75,398.75
1006.42,51.0,955.42,955.42
627.69,43.29,584.4000000000001,584.4000000000001
445.59,40.85,404.73999999999995,404.73999999999995
557.9,43.61,514.29,514.29
819.59,55.63,763.96,763.96
344.58,47.18,297.4,297.4
427.82,43.45,384.37,384.37
584.13,41.61,542.52,542.52
708.86,45.44,663.4200000000001,663.4200000000001
1117.52,47.03,1070.49,1070.49
602.21,43.33,558.88,558.88
544.68,47.26,497.41999999999996,497.41999999999996
765.39,42.16,723.23,723.23
522.5,46.72,475.78,475.78
396.17,43.47,352.70000000000005,352.70000000000005
762.67,52.43,710.24,710.24
795.73,48.43,747.3000000000001,747.3000000000001
733.3,47.82,685.4799999999999,685.4799999999999
974.5,41.12,933.38,933.38
781.22,46.28,734.94,734.94
209.61,44.21,165.4,165.4
847.76,48.04,799.72,799.72
670.11,45.63,624.48,624.48
341.54,45.45,296.09000000000003,296.09000000000003
199.67,44.39,155.27999999999997,155.27999999999997
754.52,48.4,706.12,706.12
1007.72,43.98,963.74,963.74
120.73,44.72,76.01,76.01
399.52,48.09,351.42999999999995,351.42999999999995
827.56,47.42,780.14,780.14
293.78,45.39,248.39,248.39
683.03,46.9,636.13,636.13
597.57,44.26,553.3100000000001,553.3100000000001
221.64,51.57,170.07,170.07
1185.12,45.25,1139.87,1139.87
217.19,49.93,167.26,167.26
832.22,55.56,776.6600000000001,776.6600000000001
596.94,42.28,554.6600000000001,554.6600000000001
765.07,46.96,718.11,718.11
619.16,50.23,568.93,568.93
1044.08,50.34,993.7399999999999,993.7399999999999
254.79,51.37,203.42,203.42
183.24,49.83,133.41000000000003,133.41000000000003
561.32,44.26,517.0600000000001,517.0600000000001
539.73,44.78,494.95000000000005,494.95000000000005
237.98,48.08,189.89999999999998,189.89999999999998
150.19,43.81,106.38,106.38
762.41,47.4,715.01,715.01
597.13,45.65,551.48,551.48
412.46,57.54,354.91999999999996,354.91999999999996
662.2,44.59,617.61,617.61
934.8,45.08,889.7199999999999,889.7199999999999
257.77,48.5,209.26999999999998,209.26999999999998
237.3,49.24,188.06,188.06
233.99,43.2,190.79000000000002,190.79000000000002
245.23,49.02,196.20999999999998,196.20999999999998
1055.89,47.79,1008.1000000000001,1008.1000000000001
850.01,47.64,802.37,802.37
673.86,46.58,627.28,627.28
389.09,46.43,342.65999999999997,342.65999999999997
856.86,46.92,809.94,809.94
671.62,43.89,627.73,627.73
787.93,50.34,737.5899999999999,737.5899999999999
806.45,50.86,755.59,755.59
237.01,46.45,190.56,190.56
477.75,45.76,431.99,431.99
787.68,50.51,737.17,737.17
378.18,53.04,325.14,325.14
372.87,49.39,323.48,323.48
366.72,45.67,321.05,321.05
602.2,47.54,554.6600000000001,554.6600000000001
292.12,43.51,248.61,248.61
497.85,49.81,448.04,448.04
783.84,50.93,732.9100000000001,732.9100000000001
592.88,47.47,545.41,545.41
622.8,44.33,578.4699999999999,578.4699999999999
306.99,43.65,263.34000000000003,263.34000000000003
611.49,44.36,567.13,567.13
522.35,47.98,474.37,474.37
912.53,45.66,866.87,866.87
555.44,43.92,511.52000000000004,511.52000000000004
610.2,44.6,565.6,565.6
551.68,43.2,508.47999999999996,508.47999999999996
520.1,43.82,476.28000000000003,476.28000000000003
456.6,46.85,409.75,409.75
188.3,49.64,138.66000000000003,138.66000000000003
994.04,43.69,950.3499999999999,950.3499999999999
594.45,51.3,543.1500000000001,543.1500000000001
181.15,50.67,130.48000000000002,130.48000000000002
609.47,45.2,564.27,564.27
815.73,50.09,765.64,765.64
547.12,44.08,503.04,503.04
707.44,47.09,660.35,660.35
758.26,52.69,705.5699999999999,705.5699999999999
611.05,47.14,563.91,563.91
861.74,45.58,816.16,816.16
869.63,46.81,822.8199999999999,822.8199999999999
1164.24,48.23,1116.01,1116.01
642.62,47.03,595.59,595.59
257.21,46.08,211.13,211.13
747.8,42.51,705.29,705.29
398.75,45.64,353.11,353.11
617.3,46.38,570.92,570.92
815.98,54.1,761.88,761.88
446.0,50.54,395.46,395.46
351.04,45.72,305.32000000000005,305.32000000000005
392.07,51.54,340.53,340.53
606.89,45.21,561.68,561.68
1040.1,46.43,993.67,993.67
1042.78,45.32,997.4599999999999,997.4599999999999
687.53,47.07,640.4599999999999,640.4599999999999
1004.54,49.05,955.49,955.49
603.43,41.81,561.6199999999999,561.6199999999999
947.17,43.79,903.38,903.38
859.47,48.23,811.24,811.24
795.51,44.35,751.16,751.16
283.82,44.95,238.87,238.87
378.9,48.29,330.60999999999996,330.60999999999996
418.31,50.96,367.35,367.35
770.61,49.17,721.44,721.44
518.06,43.16,474.9,474.9
534.44,44.39,490.05000000000007,490.05000000000007
737.86,46.31,691.55,691.55
1060.04,45.46,1014.5799999999999,1014.5799999999999
337.17,52.86,284.31,284.31
1069.96,48.0,1021.96,1021.96
491.31,43.55,447.76,447.76
381.47,47.05,334.42,334.42
383.45,50.11,333.34,333.34
331.43,47.23,284.2,284.2
347.54,46.72,300.82000000000005,300.82000000000005
615.55,48.71,566.8399999999999,566.8399999999999
265.97,44.06,221.91000000000003,221.91000000000003
502.61,44.65,457.96000000000004,457.96000000000004
408.82,43.5,365.32,365.32
527.02,43.2,483.82,483.82
840.14,43.48,796.66,796.66
157.75,53.76,103.99000000000001,103.99000000000001
265.21,48.36,216.84999999999997,216.84999999999997
504.13,46.67,457.46,457.46
1139.26,53.03,1086.23,1086.23
474.29,48.44,425.85,425.85
371.49,57.11,314.38,314.38
233.21,44.05,189.16000000000003,189.16000000000003
180.01,46.73,133.28,133.28
366.26,43.98,322.28,322.28
593.31,48.28,545.03,545.03
506.59,48.73,457.85999999999996,457.85999999999996
326.26,49.32,276.94,276.94
907.6,46.44,861.1600000000001,861.1600000000001
682.38,46.69,635.69,635.69
185.58,44.1,141.48000000000002,141.48000000000002
452.9,50.06,402.84,402.84
674.54,52.54,622.0,622.0
553.75,43.11,510.64,510.64
594.52,47.59,546.93,546.93
621.92,44.32,577.5999999999999,577.5999999999999
710.08,47.98,662.1,662.1
494.2,43.33,450.87,450.87
577.44,42.63,534.8100000000001,534.8100000000001
932.73,45.68,887.0500000000001,887.0500000000001
246.62,48.04,198.58,198.58
883.31,47.69,835.6199999999999,835.6199999999999
461.57,46.91,414.65999999999997,414.65999999999997
368.89,43.5,325.39,325.39
804.38,47.19,757.19,757.19
379.26,48.47,330.78999999999996,330.78999999999996
210.17,45.36,164.81,164.81
481.17,51.2,429.97,429.97
201.61,46.68,154.93,154.93
612.36,45.67,566.69,566.69
568.18,42.66,525.52,525.52
411.99,45.31,366.68,366.68
987.4,47.09,940.31,940.31
411.75,51.22,360.53,360.53
715.58,43.25,672.33,672.33
870.16,47.65,822.51,822.51
234.29,49.79,184.5,184.5
575.38,40.91,534.47,534.47
1097.97,46.77,1051.2,1051.2
427.93,40.74,387.19,387.19
562.68,52.19,510.48999999999995,510.48999999999995
404.35,46.91,357.44000000000005,357.44000000000005
1146.13,48.07,1098.0600000000002,1098.0600000000002
602.61,41.92,560.69,560.69
712.06,49.8,662.26,662.26
387.59,46.08,341.51,341.51
361.32,43.25,318.07,318.07
578.25,47.04,531.21,531.21
835.23,48.38,786.85,786.85
485.99,51.78,434.21000000000004,434.21000000000004
593.9,53.24,540.66,540.66
231.32,47.86,183.45999999999998,183.45999999999998
346.77,45.73,301.03999999999996,301.03999999999996
1076.22,45.36,1030.8600000000001,1030.8600000000001
629.09,42.75,586.34,586.34
378.12,48.35,329.77,329.77
655.35,47.15,608.2,608.2
752.08,46.91,705.1700000000001,705.1700000000001
974.18,47.82,926.3599999999999,926.3599999999999
970.42,43.81,926.6099999999999,926.6099999999999
145.82,49.89,95.92999999999999,95.92999999999999
320.37,49.17,271.2,271.2
205.84,51.67,154.17000000000002,154.17000000000002
441.88,46.49,395.39,395.39
319.44,48.61,270.83,270.83
569.62,45.81,523.81,523.81
670.63,44.5,626.13,626.13
231.48,43.81,187.67,187.67
645.7,47.08,598.62,598.62
499.76,43.82,455.94,455.94
472.62,48.54,424.08,424.08
243.91,46.35,197.56,197.56
1078.24,46.86,1031.38,1031.38
364.82,52.8,312.02,312.02
806.59,47.54,759.0500000000001,759.0500000000001
224.23,43.23,181.0,181.0
245.5,46.77,198.73,198.73
657.47,44.05,613.4200000000001,613.4200000000001
166.05,44.56,121.49000000000001,121.49000000000001
568.58,45.34,523.24,523.24
175.26,49.68,125.57999999999998,125.57999999999998
222.31,43.49,178.82,178.82
379.94,46.48,333.46,333.46
894.78,49.8,844.98,844.98
184.6,45.29,139.31,139.31
323.69,46.69,277.0,277.0
484.37,48.51,435.86,435.86
431.52,45.34,386.17999999999995,386.17999999999995
626.26,44.87,581.39,581.39
236.24,43.73,192.51000000000002,192.51000000000002
469.03,42.26,426.77,426.77
630.78,45.33,585.4499999999999,585.4499999999999
636.76,47.22,589.54,589.54
379.5,48.87,330.63,330.63
845.03,45.12,799.91,799.91
650.54,42.36,608.18,608.18
702.09,47.26,654.83,654.83
395.89,42.77,353.12,353.12
753.89,52.44,701.45,701.45
566.24,51.38,514.86,514.86
375.5,45.44,330.06,330.06
974.24,40.68,933.5600000000001,933.5600000000001
430.26,44.99,385.27,385.27
422.71,43.88,378.83,378.83
508.63,44.03,464.6,464.6
522.71,44.64,478.07000000000005,478.07000000000005
902.7,45.45,857.25,857.25
471.54,51.41,420.13,420.13
108.47,53.03,55.44,55.44
168.53,44.1,124.43,124.43
375.04,43.67,331.37,331.37
690.94,51.28,639.6600000000001,639.6600000000001
609.63,41.39,568.24,568.24
134.2,43.45,90.74999999999999,90.74999999999999
417.49,46.29,371.2,371.2
120.7,43.4,77.30000000000001,77.30000000000001
355.83,46.32,309.51,309.51
511.52,43.91,467.61,467.61
676.77,54.31,622.46,622.46
582.1,43.88,538.22,538.22
631.97,43.3,588.6700000000001,588.6700000000001
161.59,49.68,111.91,111.91
978.86,47.76,931.1,931.1
403.71,45.07,358.64,358.64
1053.86,50.39,1003.4699999999999,1003.4699999999999
137.65,43.8,93.85000000000001,93.85000000000001
620.42,45.39,575.03,575.03
922.08,48.11,873.97,873.97
561.28,50.78,510.5,510.5
567.61,47.53,520.08,520.08
786.71,41.4,745.3100000000001,745.3100000000001
717.76,48.1,669.66,669.66
592.95,47.1,545.85,545.85
278.42,49.92,228.5,228.5
426.79,43.4,383.39000000000004,383.39000000000004
925.61,43.88,881.73,881.73
1009.75,43.79,965.96,965.96
278.23,48.08,230.15000000000003,230.15000000000003
863.07,49.5,813.57,813.57
