pickup_location,delivery_location,pickup_datetime,weight,service_type,synthetic_delivery_time_min,route_distance_km_synthetic,model_prediction_min
Firenze,Pescara,2026-02-24 09:22:00,2.02,Premium,347.12,280.9,47.2
Pescara,Cagliari,2026-02-20 14:21:00,2.04,Express,655.01,559.4,46.9
Cagliari,Lecce,2026-03-17 20:10:00,1.12,Express,897.63,783.1,48.91
Salerno,Firenze,2026-02-23 13:27:00,1.77,Express,519.46,449.4,44.73
Roma,Genova,2026-08-16 19:37:00,8.56,Express,469.02,402.1,47.81
Lecce,Palermo,2026-02-16 18:55:00,2.6,Express,560.12,482.7,43.35
Bari,Cagliari,2026-03-18 17:25:00,4.91,Express,792.9,691.3,44.97
Verona,Torino,2026-03-25 19:31:00,0.53,Express,319.77,261.5,52.4
Milano,Roma,2026-02-25 12:45:00,4.47,Express,547.54,476.9,43.09
Torino,Salerno,2026-09-14 17:37:00,2.68,Express,887.18,755.2,45.68
Reggio Calabria,Cagliari,2026-02-27 09:01:00,2.14,Express,660.04,580.1,45.23
Salerno,Roma,2026-05-13 11:28:00,3.41,Express,268.58,233.2,42.34
Salerno,Sassari,2026-06-04 14:55:00,2.12,Express,603.17,523.4,45.11
Cagliari,Perugia,2026-03-13 07:31:00,0.68,Premium,597.88,511.8,53.97
Lecce,Salerno,2026-05-09 17:42:00,5.72,Express,329.63,289.7,43.62
Napoli,Lecce,2026-02-16 19:57:00,3.56,Express,386.98,333.9,51.22
Napoli,Salerno,2026-05-12 08:28:00,2.41,Express,80.26,46.2,49.88
Ancona,Napoli,2026-01-06 20:53:00,1.53,Premium,387.89,314.1,51.02
Palermo,Sassari,2026-04-30 08:14:00,1.07,Express,608.55,504.1,42.65
Cagliari,Bologna,2026-04-10 08:46:00,3.51,Express,711.45,614.1,49.77
Roma,Lecce,2026-04-06 17:40:00,9.28,Express,601.44,505.1,44.63
Reggio Calabria,Firenze,2026-01-31 16:35:00,3.46,Premium,827.48,729.6,45.47
Trapani,Catania,2026-09-30 20:06:00,1.14,Premium,287.94,231.2,45.51
Roma,Genova,2026-01-08 12:57:00,3.51,Express,483.35,402.1,48.02
Lecce,Napoli,2026-02-09 15:00:00,2.89,Express,403.89,333.9,48.21
Verona,Bologna,2026-01-29 09:04:00,5.49,Express,157.24,109.2,49.28
Milano,Roma,2026-09-24 16:41:00,4.59,Express,544.42,476.9,43.09
Genova,Perugia,2026-03-28 20:58:00,0.37,Premium,368.62,313.2,54.58
Trapani,Sassari,2026-04-28 15:21:00,4.39,Premium,549.84,455.8,47.08
Lecce,Roma,2026-07-24 20:03:00,1.49,Premium,582.46,505.1,42.99
Bari,Bologna,2026-01-14 12:30:00,1.11,Premium,657.88,586.2,46.7
Napoli,Bari,2026-01-19 20:45:00,2.63,Express,261.11,220.3,52.85
Salerno,Milano,2026-02-19 14:30:00,4.0,Premium,801.96,698.2,46.63
Cagliari,Napoli,2026-07-05 09:00:00,0.95,Express,535.26,474.3,52.0
Napoli,Catania,2026-09-25 12:04:00,4.91,Express,445.74,378.1,49.53
Bologna,Salerno,2026-06-19 13:53:00,5.12,Express,593.36,508.2,43.58
Reggio Calabria,Perugia,2026-08-27 07:56:00,3.1,Express,728.38,620.2,49.93
Napoli,Roma,2026-08-29 19:32:00,1.63,Premium,230.3,188.3,49.11
Genova,Bologna,2026-03-17 10:20:00,1.51,Premium,245.35,191.5,50.91
Catania,Sassari,2026-02-20 16:27:00,6.15,Premium,783.22,667.2,47.55
Perugia,Catania,2026-02-13 19:52:00,1.04,Premium,778.8,663.3,43.0
Reggio Calabria,Milano,2026-08-05 13:05:00,6.32,Express,1100.3,976.4,46.43
Trapani,Milano,2026-07-02 15:31:00,2.67,Express,978.82,872.5,47.83
Milano,Sassari,2026-08-25 14:14:00,2.81,Premium,615.33,528.4,46.34
Cagliari,Firenze,2026-05-19 17:41:00,0.91,Express,625.92,536.1,48.6
Sassari,Catania,2026-09-24 07:32:00,2.71,Premium,762.8,667.2,42.17
Pescara,Genova,2026-09-02 12:02:00,4.61,Express,567.13,478.2,50.12
Roma,Lecce,2026-08-09 15:33:00,1.18,Express,571.99,505.1,44.96
Bari,Cagliari,2026-08-08 08:16:00,4.25,Express,780.52,691.3,45.0
Genova,Cagliari,2026-02-03 19:02:00,3.19,Express,672.01,577.3,49.26
Salerno,Catania,2026-07-23 15:50:00,1.91,Premium,423.52,353.6,43.87
Sassari,Napoli,2026-09-16 07:02:00,5.46,Premium,568.84,480.8,46.78
Milano,Genova,2026-03-21 07:10:00,0.64,Express,149.01,118.5,49.06
Sassari,Lecce,2026-08-11 09:14:00,3.82,Express,951.74,812.8,43.31
Sassari,Roma,2026-04-06 16:17:00,9.32,Express,411.94,353.8,40.43
Lecce,Catania,2026-02-27 14:15:00,8.22,Express,483.1,413.1,43.27
Torino,Trapani,2026-07-19 13:45:00,3.94,Express,1013.6,881.3,47.01
Firenze,Salerno,2026-02-15 14:51:00,2.43,Express,496.33,449.4,46.82
Catania,Cagliari,2026-05-12 13:55:00,1.92,Express,633.9,554.0,47.03
Reggio Calabria,Genova,2026-09-13 11:48:00,2.43,Express,1025.87,897.2,48.54
Pescara,Cagliari,2026-02-12 07:06:00,4.39,Express,656.28,559.4,46.81
Bologna,Firenze,2026-02-12 07:23:00,1.7,Premium,121.46,80.4,45.25
Sassari,Lecce,2026-09-15 16:38:00,5.1,Express,933.58,812.8,43.26
Cagliari,Bologna,2026-08-01 17:24:00,13.35,Express,716.95,614.1,49.36
Sassari,Ancona,2026-05-07 10:21:00,2.87,Express,611.56,519.8,44.62
Ancona,Milano,2026-04-21 10:24:00,1.17,Premium,456.59,399.5,49.17
Salerno,Roma,2026-09-21 12:42:00,1.17,Premium,272.42,233.2,42.89
Salerno,Genova,2026-07-17 16:01:00,5.17,Express,730.84,632.9,48.07
Salerno,Torino,2026-09-05 15:18:00,2.88,Express,851.53,755.2,48.88
Reggio Calabria,Lecce,2026-01-26 14:49:00,5.54,Premium,400.43,330.4,45.71
Napoli,Trapani,2026-05-25 07:30:00,2.06,Express,410.03,348.0,51.28
Roma,Catania,2026-07-17 13:01:00,5.37,Express,637.4,536.0,43.15
Firenze,Palermo,2026-01-10 17:32:00,2.69,Premium,765.6,652.7,46.86
Salerno,Catania,2026-05-20 15:15:00,1.8,Express,405.37,353.6,43.42
Perugia,Bari,2026-01-16 18:17:00,2.27,Express,516.64,430.6,45.72
Napoli,Trapani,2026-09-03 16:43:00,1.3,Premium,403.27,348.0,51.77
Palermo,Lecce,2026-07-05 19:35:00,12.08,Express,588.59,482.7,42.12
Perugia,Napoli,2026-02-21 15:00:00,2.8,Express,346.12,295.4,47.19
Ancona,Pescara,2026-05-23 14:58:00,4.71,Express,180.34,140.6,45.87
Bologna,Pescara,2026-01-30 14:48:00,2.06,Premium,367.56,323.4,44.08
Catania,Ancona,2026-08-08 10:42:00,1.44,Premium,768.75,692.2,48.95
Bologna,Torino,2026-02-23 13:06:00,2.55,Premium,339.8,295.2,49.4
Milano,Pescara,2026-06-15 09:21:00,6.48,Express,635.23,522.1,44.18
Reggio Calabria,Verona,2026-01-22 13:01:00,2.08,Premium,1016.44,901.6,44.13
Reggio Calabria,Napoli,2026-02-13 09:05:00,1.63,Premium,407.96,326.9,48.95
Napoli,Pescara,2026-09-25 13:52:00,3.34,Express,213.58,179.1,49.75
Torino,Milano,2026-04-16 20:21:00,4.25,Express,159.02,125.1,48.21
Perugia,Torino,2026-02-03 13:19:00,9.47,Express,511.92,433.9,47.7
Bari,Sassari,2026-07-11 17:20:00,3.84,Premium,831.14,699.2,45.7
Salerno,Trapani,2026-02-24 13:08:00,4.71,Express,420.54,352.5,44.93
Perugia,Palermo,2026-06-10 19:40:00,4.96,Express,662.47,560.9,42.23
Pescara,Salerno,2026-08-10 09:56:00,1.34,Premium,275.9,203.3,46.16
Perugia,Lecce,2026-07-06 18:40:00,1.53,Premium,663.43,569.2,44.63
Perugia,Napoli,2026-03-09 17:08:00,1.4,Premium,376.06,295.4,47.71
Bari,Salerno,2026-03-06 19:26:00,1.18,Express,242.28,183.1,43.89
Perugia,Bari,2026-03-02 08:51:00,5.24,Express,523.23,430.6,45.6
Salerno,Roma,2026-06-22 19:31:00,3.68,Express,291.04,233.2,42.33
Genova,Ancona,2026-07-03 19:43:00,3.17,Express,447.67,377.4,50.71
Pescara,Perugia,2026-05-23 11:08:00,0.49,Premium,195.56,165.2,52.17
Ancona,Napoli,2026-04-19 15:44:00,12.65,Express,372.94,314.1,50.11
Genova,Napoli,2026-01-17 15:12:00,1.6,Express,661.01,589.3,52.57
Milano,Napoli,2026-08-17 07:41:00,12.61,Express,769.04,657.4,48.49
Verona,Napoli,2026-06-30 14:21:00,1.09,Express,654.76,575.5,51.59
Catania,Milano,2026-06-24 16:13:00,1.7,Premium,1152.91,1010.7,48.87
Firenze,Napoli,2026-01-29 09:52:00,0.64,Express,487.96,408.7,51.36
Milano,Perugia,2026-03-20 12:03:00,3.87,Express,416.61,364.9,50.35
Verona,Salerno,2026-03-24 15:11:00,1.39,Express,686.91,611.8,47.11
Torino,Perugia,2026-06-13 20:01:00,1.42,Express,495.01,433.9,51.7
Ancona,Pescara,2026-08-03 07:50:00,1.15,Express,166.25,140.6,46.02
Catania,Sassari,2026-08-25 20:06:00,5.17,Premium,763.28,667.2,47.59
Sassari,Verona,2026-05-23 18:25:00,4.94,Express,671.14,559.6,41.54
Bari,Bologna,2026-04-10 18:50:00,10.67,Express,680.04,586.2,45.85
Torino,Roma,2026-04-22 07:40:00,1.86,Premium,628.33,524.1,44.91
Firenze,Catania,2026-07-21 14:56:00,3.5,Express,876.99,767.6,46.52
Trapani,Cagliari,2026-03-28 12:09:00,1.22,Express,386.55,325.7,46.52
Firenze,Salerno,2026-04-24 19:52:00,2.37,Express,539.6,449.4,46.82
Milano,Bari,2026-08-03 17:22:00,2.09,Express,911.02,786.3,47.43
Reggio Calabria,Sassari,2026-05-29 16:05:00,4.15,Express,788.66,674.8,45.38
Bologna,Salerno,2026-05-08 07:23:00,6.11,Premium,585.96,508.2,44.0
Perugia,Verona,2026-07-20 19:15:00,6.0,Premium,355.8,282.0,42.72
Palermo,Reggio Calabria,2026-03-20 13:51:00,1.66,Express,232.56,200.3,48.42
Salerno,Torino,2026-01-17 09:14:00,6.03,Express,856.22,755.2,48.74
Verona,Bologna,2026-08-04 19:14:00,2.91,Express,147.05,109.2,49.39
Reggio Calabria,Torino,2026-05-05 19:39:00,2.39,Express,1180.73,1017.4,49.25
Milano,Cagliari,2026-03-30 13:57:00,1.83,Express,787.99,693.9,45.69
Milano,Genova,2026-01-26 16:15:00,2.03,Express,170.59,118.5,49.0
Milano,Bologna,2026-09-10 15:32:00,10.16,Express,274.96,200.6,46.46
Sassari,Milano,2026-07-17 11:14:00,3.72,Premium,645.67,528.4,44.98
Genova,Roma,2026-03-16 17:28:00,3.39,Premium,505.93,402.1,47.23
Cagliari,Firenze,2026-06-15 20:58:00,2.5,Express,638.98,536.1,48.53
Genova,Sassari,2026-05-07 20:04:00,16.62,Premium,507.09,410.3,49.4
Ancona,Pescara,2026-03-31 16:36:00,7.48,Express,185.78,140.6,45.76
Bologna,Pescara,2026-03-27 12:02:00,1.81,Premium,387.94,323.4,44.09
Bari,Trapani,2026-01-21 19:43:00,2.48,Express,594.39,506.4,45.23
Salerno,Milano,2026-09-24 19:59:00,2.58,Express,809.11,698.2,46.23
Roma,Genova,2026-09-10 07:04:00,3.32,Express,475.3,402.1,48.03
Reggio Calabria,Verona,2026-08-26 11:44:00,1.84,Express,1015.9,901.6,43.69
Napoli,Perugia,2026-03-27 14:43:00,4.08,Express,336.62,295.4,55.78
Roma,Pescara,2026-09-30 15:05:00,8.29,Express,203.23,154.0,43.18
Cagliari,Firenze,2026-03-17 16:58:00,1.2,Express,606.52,536.1,48.59
Trapani,Catania,2026-08-14 14:11:00,1.36,Express,269.04,231.2,45.04
Palermo,Cagliari,2026-01-28 07:11:00,2.14,Express,448.72,387.8,42.37
Trapani,Catania,2026-03-26 09:19:00,2.21,Express,284.49,231.2,45.0
Cagliari,Firenze,2026-06-07 17:40:00,12.15,Express,649.97,536.1,48.13
Napoli,Roma,2026-09-22 16:42:00,6.05,Express,232.58,188.3,48.47
Reggio Calabria,Bari,2026-03-14 16:07:00,5.81,Express,422.9,350.6,46.83
Napoli,Pescara,2026-04-29 13:10:00,2.49,Express,220.79,179.1,49.78
Milano,Trapani,2026-08-19 10:50:00,2.46,Premium,995.27,872.5,46.28
Cagliari,Salerno,2026-05-09 11:18:00,1.09,Express,580.81,508.1,47.52
Lecce,Milano,2026-07-06 16:38:00,5.19,Express,1038.89,925.2,46.24
Catania,Bari,2026-04-25 14:03:00,4.23,Express,500.06,429.6,48.69
Genova,Sassari,2026-01-02 08:49:00,7.38,Express,503.47,410.3,49.32
Reggio Calabria,Ancona,2026-03-19 12:35:00,2.59,Express,738.98,638.3,46.65
Pescara,Reggio Calabria,2026-06-04 18:32:00,2.72,Express,572.85,498.9,52.9
Pescara,Reggio Calabria,2026-01-06 15:23:00,3.38,Premium,567.17,498.9,53.33
Lecce,Cagliari,2026-03-05 19:07:00,5.6,Express,901.12,783.1,44.85
Verona,Roma,2026-09-18 14:07:00,1.07,Express,489.14,411.9,45.86
Bari,Cagliari,2026-01-05 13:47:00,5.02,Express,793.82,691.3,44.96
Genova,Catania,2026-03-09 20:17:00,2.96,Express,1040.13,924.7,47.8
Bologna,Sassari,2026-06-19 14:06:00,1.43,Premium,539.41,475.9,45.66
Genova,Verona,2026-06-03 08:53:00,0.7,Express,242.81,198.5,47.81
Verona,Firenze,2026-02-25 12:37:00,2.73,Express,220.17,186.8,48.12
Lecce,Trapani,2026-01-17 16:04:00,8.26,Premium,652.77,549.9,45.36
Trapani,Roma,2026-09-03 11:50:00,9.69,Express,520.05,431.4,43.69
Napoli,Salerno,2026-05-31 12:44:00,3.85,Express,59.56,46.2,49.82
Reggio Calabria,Bologna,2026-06-06 19:13:00,11.85,Premium,940.93,795.3,46.4
Napoli,Firenze,2026-01-16 13:05:00,2.91,Express,480.99,408.7,50.92
Firenze,Reggio Calabria,2026-02-27 11:16:00,5.85,Express,823.63,729.6,53.93
Salerno,Verona,2026-01-20 08:30:00,2.19,Premium,717.17,611.8,43.78
Verona,Sassari,2026-09-25 12:38:00,2.09,Express,644.32,559.6,48.54
Firenze,Milano,2026-07-30 17:43:00,1.87,Express,308.86,248.8,49.44
Salerno,Catania,2026-05-30 11:11:00,0.71,Express,389.81,353.6,43.46
Firenze,Verona,2026-07-05 13:35:00,7.39,Express,232.99,186.8,46.29
Roma,Firenze,2026-02-15 16:11:00,1.91,Express,279.52,231.6,44.61
Salerno,Genova,2026-09-27 19:59:00,1.71,Express,746.56,632.9,48.22
Milano,Verona,2026-05-22 18:23:00,1.31,Express,179.31,140.4,44.16
Roma,Perugia,2026-05-22 11:00:00,2.6,Premium,171.28,134.8,49.94
Firenze,Bari,2026-09-19 09:18:00,10.31,Express,646.21,547.1,49.47
Bari,Ancona,2026-01-27 16:23:00,12.99,Express,472.96,391.1,46.07
Bari,Milano,2026-04-26 10:33:00,0.94,Premium,896.09,786.3,46.96
Milano,Verona,2026-01-25 12:29:00,2.34,Premium,185.58,140.4,44.57
Trapani,Milano,2026-04-27 08:27:00,1.45,Premium,995.39,872.5,48.34
Bologna,Reggio Calabria,2026-03-14 17:50:00,5.99,Premium,928.58,795.3,51.26
Napoli,Firenze,2026-05-06 09:14:00,3.67,Express,480.2,408.7,50.89
Roma,Salerno,2026-07-11 12:19:00,1.92,Express,273.52,233.2,43.54
Catania,Salerno,2026-03-18 12:41:00,3.16,Premium,437.67,353.6,46.21
Roma,Pescara,2026-01-14 07:35:00,2.15,Express,176.4,154.0,43.44
Genova,Salerno,2026-02-14 17:51:00,9.29,Express,739.34,632.9,47.78
Sassari,Perugia,2026-07-15 15:39:00,4.4,Premium,475.5,412.8,48.32
Perugia,Lecce,2026-06-08 14:34:00,4.79,Express,657.18,569.2,44.03
Palermo,Roma,2026-09-25 09:29:00,0.46,Express,513.22,426.6,39.95
Cagliari,Sassari,2026-09-02 07:44:00,2.86,Express,215.93,174.6,48.91
Napoli,Sassari,2026-02-13 07:46:00,12.9,Express,568.41,480.8,50.91
Torino,Catania,2026-07-20 15:45:00,7.59,Express,1199.02,1042.5,45.23
Ancona,Reggio Calabria,2026-01-25 17:28:00,0.82,Express,738.72,638.3,53.38
Salerno,Ancona,2026-01-27 18:08:00,2.41,Premium,427.65,342.8,46.76
Napoli,Perugia,2026-08-05 18:12:00,1.29,Express,365.36,295.4,55.9
Roma,Perugia,2026-04-20 12:30:00,9.94,Express,151.98,134.8,49.18
Reggio Calabria,Lecce,2026-09-30 07:01:00,3.56,Premium,394.63,330.4,45.79
Milano,Verona,2026-01-02 10:25:00,1.75,Premium,170.87,140.4,44.6
Genova,Torino,2026-05-18 18:01:00,3.07,Express,160.29,122.4,53.3
Pescara,Ancona,2026-03-26 17:41:00,0.48,Express,199.74,140.6,48.41
Bologna,Catania,2026-09-27 14:06:00,1.4,Express,941.65,837.3,43.49
Perugia,Catania,2026-07-02 07:20:00,3.08,Premium,783.59,663.3,42.92
Bari,Torino,2026-07-30 17:52:00,5.42,Express,982.48,864.4,48.97
Pescara,Palermo,2026-03-21 18:25:00,0.77,Express,557.47,487.9,45.33
Pescara,Roma,2026-09-02 10:10:00,2.3,Premium,205.24,154.0,44.86
Bari,Sassari,2026-08-18 18:15:00,6.08,Express,810.65,699.2,45.15
Salerno,Bari,2026-08-03 15:57:00,1.09,Express,224.21,183.1,46.67
Milano,Bari,2026-05-11 19:25:00,3.52,Premium,912.87,786.3,47.83
Salerno,Bologna,2026-09-09 15:46:00,3.14,Premium,590.9,508.2,46.41
Ancona,Lecce,2026-07-02 08:15:00,9.96,Express,627.58,528.9,47.14
Cagliari,Genova,2026-01-18 16:03:00,2.55,Express,660.08,577.3,52.01
Napoli,Roma,2026-08-30 08:30:00,2.66,Express,244.58,188.3,48.61
Cagliari,Lecce,2026-01-06 10:37:00,5.46,Express,910.42,783.1,48.74
Genova,Lecce,2026-07-06 19:13:00,1.19,Express,1008.07,882.3,49.51
Reggio Calabria,Catania,2026-03-10 20:33:00,2.57,Express,108.02,82.9,43.74
Bologna,Cagliari,2026-09-02 13:39:00,2.18,Express,696.38,614.1,44.93
Reggio Calabria,Cagliari,2026-07-19 11:04:00,2.72,Express,676.32,580.1,45.21
Bologna,Cagliari,2026-08-09 12:29:00,5.43,Express,710.38,614.1,44.8
Cagliari,Perugia,2026-07-11 10:23:00,4.42,Express,569.29,511.8,53.36
Perugia,Milano,2026-06-04 15:01:00,1.78,Express,404.64,364.9,45.36
Salerno,Milano,2026-08-24 12:53:00,3.3,Express,788.4,698.2,46.2
Cagliari,Napoli,2026-03-23 07:49:00,8.52,Express,558.13,474.3,51.69
Firenze,Roma,2026-05-25 15:32:00,1.68,Express,275.48,231.6,45.59
Trapani,Torino,2026-03-23 16:00:00,3.32,Premium,1012.37,881.3,50.92
Verona,Palermo,2026-02-01 16:20:00,2.62,Premium,952.43,837.2,47.11
Perugia,Pescara,2026-08-27 20:13:00,2.87,Express,217.8,165.2,42.63
Milano,Roma,2026-05-16 16:51:00,0.96,Express,552.08,476.9,43.24
Genova,Reggio Calabria,2026-01-15 16:27:00,8.05,Premium,1032.79,897.2,55.55
Pescara,Bologna,2026-08-14 09:57:00,1.74,Express,401.34,323.4,48.03
Perugia,Verona,2026-09-15 13:30:00,6.15,Premium,329.1,282.0,42.72
Firenze,Cagliari,2026-06-30 13:04:00,1.94,Express,613.71,536.1,48.07
Ancona,Milano,2026-03-31 20:27:00,1.94,Express,464.12,399.5,48.68
Cagliari,Reggio Calabria,2026-08-23 13:38:00,7.01,Express,674.08,580.1,54.53
Verona,Milano,2026-07-21 16:38:00,6.02,Express,163.91,140.4,49.51
Milano,Catania,2026-03-19 14:34:00,3.47,Express,1141.65,1010.7,44.15
Napoli,Trapani,2026-04-01 07:47:00,5.11,Premium,421.31,348.0,51.61
Napoli,Bari,2026-09-27 20:05:00,2.45,Express,266.21,220.3,52.86
Salerno,Catania,2026-09-18 16:22:00,2.98,Express,425.18,353.6,43.37
Bari,Verona,2026-07-04 10:13:00,1.89,Express,774.44,675.9,43.54
Bari,Roma,2026-01-10 07:50:00,5.65,Premium,443.45,374.0,42.91
Firenze,Bari,2026-03-04 20:06:00,1.85,Express,633.36,547.1,49.82
Napoli,Salerno,2026-04-07 11:18:00,8.48,Express,77.99,46.2,49.63
Reggio Calabria,Verona,2026-05-27 07:14:00,2.4,Express,1022.87,901.6,43.66
Napoli,Bari,2026-08-25 15:37:00,3.04,Express,273.27,220.3,52.83
Milano,Salerno,2026-08-20 07:13:00,5.1,Premium,805.94,698.2,44.78
Trapani,Napoli,2026-03-16 10:01:00,3.05,Express,410.83,348.0,49.69
Cagliari,Bologna,2026-01-30 19:30:00,2.44,Express,723.6,614.1,49.81
Perugia,Catania,2026-03-17 07:32:00,2.94,Premium,771.58,663.3,42.93
Palermo,Cagliari,2026-03-06 17:31:00,5.61,Express,479.69,387.8,42.23
Napoli,Cagliari,2026-09-03 15:39:00,1.89,Express,569.16,474.3,51.13
Sassari,Milano,2026-01-04 11:17:00,2.75,Express,611.3,528.4,44.56
Firenze,Napoli,2026-08-15 11:00:00,3.02,Premium,474.03,408.7,51.72
Verona,Catania,2026-06-29 13:38:00,5.49,Express,1079.67,945.3,46.69
Genova,Firenze,2026-01-29 14:27:00,2.8,Express,245.42,198.5,49.12
Palermo,Cagliari,2026-07-07 19:27:00,10.64,Express,481.03,387.8,42.02
Palermo,Salerno,2026-06-08 10:39:00,2.69,Express,378.71,309.4,41.12
Sassari,Catania,2026-01-02 15:15:00,2.54,Express,744.3,667.2,41.72
Milano,Trapani,2026-03-02 16:36:00,2.66,Express,1004.59,872.5,45.81
Firenze,Palermo,2026-04-06 07:10:00,1.19,Express,761.52,652.7,46.47
Ancona,Sassari,2026-02-28 19:32:00,1.45,Express,610.38,519.8,47.56
Lecce,Pescara,2026-06-08 20:53:00,2.07,Premium,482.08,405.1,44.13
Sassari,Firenze,2026-06-18 08:12:00,6.64,Express,484.47,404.0,42.87
Ancona,Pescara,2026-02-16 10:39:00,2.93,Premium,183.73,140.6,46.4
Torino,Firenze,2026-02-03 18:00:00,2.14,Express,390.97,317.5,46.77
Palermo,Bologna,2026-06-28 18:19:00,7.08,Express,850.92,728.1,43.28
Bologna,Firenze,2026-05-09 09:11:00,8.89,Express,134.86,80.4,44.5
Genova,Firenze,2026-03-14 19:50:00,7.22,Express,262.62,198.5,48.94
Perugia,Bologna,2026-03-11 11:36:00,1.65,Express,221.97,175.1,45.11
Genova,Ancona,2026-01-11 11:06:00,2.12,Express,443.33,377.4,50.75
Bologna,Trapani,2026-08-22 12:00:00,10.68,Premium,832.85,726.4,45.2
Reggio Calabria,Palermo,2026-08-18 16:24:00,3.55,Premium,259.25,200.3,44.0
Reggio Calabria,Milano,2026-06-01 09:53:00,2.49,Express,1135.21,976.4,46.58
Bologna,Trapani,2026-04-06 14:36:00,4.96,Express,830.25,726.4,44.98
Firenze,Catania,2026-02-28 08:03:00,6.07,Express,901.95,767.6,46.42
Catania,Milano,2026-03-25 09:03:00,2.01,Premium,1151.89,1010.7,48.85
Reggio Calabria,Sassari,2026-09-10 17:45:00,3.5,Express,782.77,674.8,45.41
Roma,Pescara,2026-01-25 12:22:00,5.74,Express,186.36,154.0,43.29
Roma,Lecce,2026-08-13 18:06:00,1.33,Express,605.02,505.1,44.96
Trapani,Firenze,2026-03-25 17:19:00,3.03,Express,769.48,648.5,46.29
Salerno,Ancona,2026-03-14 20:57:00,1.38,Express,394.92,342.8,46.35
Genova,Bari,2026-08-10 08:55:00,1.51,Express,868.41,743.8,51.09
Bologna,Cagliari,2026-09-20 20:05:00,2.02,Express,714.87,614.1,44.94
Pescara,Salerno,2026-09-28 19:29:00,4.19,Express,259.88,203.3,45.59
Trapani,Pescara,2026-03-15 13:05:00,2.39,Express,588.57,513.6,45.15
Verona,Milano,2026-06-11 08:53:00,1.91,Express,194.23,140.4,49.68
Catania,Salerno,2026-03-21 08:52:00,3.11,Premium,421.09,353.6,46.21
Catania,Cagliari,2026-02-22 14:09:00,1.34,Express,631.67,554.0,47.06
Ancona,Catania,2026-04-16 07:08:00,4.05,Premium,819.6,692.2,46.2
Bologna,Lecce,2026-01-18 08:20:00,6.62,Express,835.46,725.0,44.92
